,reserva_id,hotel_id,cliente_id,fecha_reserva,fecha_checkin,fecha_checkout,monto_total,estado_reserva
27,27,82,748,2023-07-13,2023-07-08,2023-07-09,3508,cancelada
28,28,5,681,2021-07-02,2021-12-16,2021-12-17,6671,cancelada
29,29,34,296,2024-03-24,2022-12-14,2023-07-13,5989,pendiente
30,30,7,298,2021-11-14,2021-11-30,2021-12-01,9217,pendiente
31,31,33,716,2021-08-12,2020-10-22,2023-09-15,8486,confirmada
32,32,78,130,2022-05-16,2021-02-12,2022-05-26,5149,pendiente
33,33,86,742,2023-03-23,2022-01-03,2022-01-04,8459,pendiente
34,34,46,549,2020-05-30,2022-07-13,2022-07-14,6904,cancelada
35,35,93,428,2021-09-21,2020-03-12,2023-02-09,5996,cancelada
36,36,10,994,2023-07-25,2020-08-18,2023-02-08,707,pendiente
37,37,31,730,2022-01-17,2023-11-08,2023-11-09,8764,pendiente
38,38,31,502,2021-06-22,2020-09-10,2020-09-11,6224,cancelada
39,39,100,135,2021-03-30,2023-10-11,2023-10-12,9751,pendiente
40,40,17,307,2020-07-20,2021-01-30,2021-02-04,4804,cancelada
41,41,85,836,2023-09-07,2023-11-25,2023-11-26,6425,confirmada
42,42,52,246,2020-08-07,2021-06-13,2022-05-12,1372,pendiente
43,43,30,33,2020-04-24,2021-01-13,2021-01-14,1488,pendiente
44,44,33,199,2023-04-28,2023-02-11,2023-02-12,9246,pendiente
45,45,16,562,2020-01-15,2021-12-23,2023-08-29,7175,confirmada
46,46,5,213,2021-03-06,2020-09-23,2022-11-01,8052,pendiente
47,47,80,258,2024-04-24,2023-11-20,2023-11-21,2361,confirmada
48,48,60,537,2023-03-27,2020-08-11,2022-12-27,5687,cancelada
49,49,13,624,2020-01-06,2022-09-12,2024-02-08,7713,pendiente
50,50,23,634,2023-09-30,2022-09-12,2022-09-13,4205,pendiente
51,51,89,460,2023-01-08,2023-05-01,2023-05-02,5719,cancelada
52,52,14,902,2022-08-20,2020-04-25,2022-07-05,4053,pendiente
53,53,64,383,2022-11-08,2023-12-01,2023-12-18,9448,confirmada
54,54,98,54,2023-11-29,2021-11-03,2022-10-28,6992,cancelada
55,55,74,364,2022-09-11,2024-06-22,2024-06-23,2765,cancelada
56,56,20,643,2022-07-05,2023-01-02,2023-01-03,5880,pendiente
57,57,77,600,2023-04-17,2020-11-24,2020-12-30,4408,pendiente
58,58,19,296,2024-04-24,2020-10-06,2023-05-25,9250,pendiente
59,59,38,41,2023-06-18,2022-05-30,2022-05-31,9286,cancelada
60,60,32,124,2021-03-20,2020-05-30,2021-06-14,1449,pendiente
61,61,90,821,2024-06-11,2021-10-06,2022-11-12,4780,confirmada
62,62,80,248,2021-01-28,2020-06-25,2022-12-17,4298,cancelada
63,63,44,148,2023-10-21,2020-07-03,2023-10-13,691,cancelada
64,64,4,1,2023-07-14,2023-04-16,2023-04-17,6334,confirmada
65,65,51,186,2024-07-06,2021-08-01,2024-05-23,8986,cancelada
66,66,88,262,2020-07-20,2024-05-06,2024-05-07,5218,pendiente
67,67,76,788,2022-09-18,2023-12-20,2023-12-21,9830,confirmada
68,68,94,793,2022-05-21,2023-02-06,2023-02-07,1748,pendiente
69,69,1,351,2020-06-28,2021-10-06,2021-10-07,3824,confirmada
70,70,57,805,2022-05-01,2021-10-24,2023-01-02,2245,pendiente
71,71,100,987,2021-05-28,2020-10-31,2021-12-02,7771,cancelada
72,72,78,833,2021-12-21,2022-02-15,2022-02-16,5419,pendiente
73,73,51,866,2023-01-09,2024-06-03,2024-06-04,3364,pendiente
74,74,25,744,2023-04-18,2024-03-13,2024-03-14,4397,pendiente
75,75,19,114,2022-04-01,2023-05-13,2023-05-14,3080,confirmada
76,76,61,892,2023-12-15,2024-03-16,2024-03-17,4551,pendiente
77,77,31,72,2020-01-25,2020-03-05,2020-03-28,34,confirmada
78,78,50,728,2024-02-21,2024-01-03,2024-01-04,2996,cancelada
79,79,55,219,2021-07-26,2020-07-30,2020-11-17,7300,cancelada
80,80,26,989,2024-05-15,2020-01-05,2021-12-26,1384,cancelada
81,81,26,50,2022-11-24,2024-05-05,2024-05-06,2429,confirmada
82,82,90,26,2024-04-12,2021-04-21,2023-05-22,6322,cancelada
83,83,84,225,2022-10-31,2020-05-26,2022-04-28,4959,cancelada
84,84,57,638,2022-12-15,2022-04-01,2022-04-02,5407,cancelada
85,85,94,590,2021-02-01,2021-09-03,2021-09-04,8592,pendiente
86,86,31,743,2020-09-15,2021-07-23,2023-04-03,5596,cancelada
87,87,56,894,2022-05-08,2023-02-13,2024-03-27,4233,cancelada
88,88,37,831,2020-10-10,2021-09-21,2022-08-15,6316,pendiente
89,89,65,811,2022-02-07,2021-03-08,2023-11-21,1621,cancelada
90,90,6,749,2023-06-15,2024-01-03,2024-01-04,5708,confirmada
91,91,54,517,2023-07-01,2021-11-18,2021-11-19,6001,confirmada
92,92,3,920,2023-03-21,2020-07-14,2022-01-14,8845,pendiente
93,93,40,252,2020-04-19,2021-07-26,2024-01-24,3633,confirmada
94,94,27,891,2021-02-12,2022-05-10,2023-12-12,126,pendiente
95,95,68,507,2024-01-27,2024-01-09,2024-01-10,167,cancelada
96,96,41,955,2022-01-14,2021-08-18,2024-03-29,5003,pendiente
97,97,5,547,2023-07-29,2022-03-04,2024-02-15,7363,confirmada
98,98,6,775,2021-06-03,2023-04-29,2023-10-24,8592,cancelada
99,99,59,879,2022-07-27,2023-01-27,2023-04-19,238,pendiente
100,100,74,117,2021-11-04,2021-06-14,2023-02-25,323,pendiente
101,101,55,899,2023-08-29,2020-02-20,2023-06-06,3714,cancelada
102,102,85,84,2023-09-27,2022-07-31,2022-08-01,8549,cancelada
103,103,16,903,2021-02-07,2020-12-14,2020-12-15,607,confirmada
104,104,88,363,2024-01-10,2020-06-14,2022-05-25,303,pendiente
105,105,30,271,2020-11-10,2023-10-07,2023-10-08,5466,confirmada
106,106,88,590,2023-07-04,2022-03-31,2022-04-01,6906,pendiente
107,107,89,820,2022-03-25,2021-08-12,2024-06-08,1390,confirmada
108,108,42,979,2020-11-10,2020-12-15,2022-01-04,3531,cancelada
109,109,88,301,2023-10-18,2023-06-21,2023-06-22,3276,pendiente
110,110,27,332,2020-08-23,2020-01-14,2023-07-27,8956,cancelada
111,111,15,380,2022-05-27,2020-04-30,2020-07-20,1923,pendiente
112,112,98,550,2021-09-24,2021-05-25,2021-05-26,9511,cancelada
113,113,6,607,2020-10-03,2024-02-22,2024-02-23,4705,confirmada
114,114,3,794,2023-10-16,2023-07-14,2023-07-15,8883,cancelada
115,115,80,522,2021-05-15,2022-07-09,2022-07-10,9495,pendiente
116,116,41,634,2023-03-19,2020-12-21,2024-06-25,5496,pendiente
117,117,7,4,2020-09-02,2022-04-06,2022-07-05,5461,confirmada
118,118,40,419,2020-11-06,2023-11-16,2023-11-16,140,confirmada
119,119,98,902,2020-01-17,2022-04-19,2022-04-20,7202,confirmada
120,120,8,339,2023-10-07,2024-05-27,2024-05-28,588,cancelada
121,121,4,137,2022-12-16,2024-05-15,2024-05-16,1878,pendiente
122,122,5,154,2020-09-15,2023-09-16,2023-09-17,1524,confirmada
123,123,18,145,2022-12-29,2023-02-11,2023-09-08,4302,pendiente
124,124,67,760,2021-12-01,2020-10-11,2022-05-21,9209,confirmada
125,125,99,271,2021-03-29,2020-06-20,2021-09-15,6690,pendiente
126,126,56,216,2024-06-18,2024-03-02,2024-03-03,5255,cancelada
127,127,23,536,2022-07-02,2021-03-28,2024-03-28,1311,pendiente
128,128,69,756,2022-01-23,2022-04-12,2022-09-19,7896,cancelada
129,129,81,447,2020-10-20,2021-01-15,2021-01-16,700,confirmada
130,130,6,864,2020-04-01,2021-09-07,2023-04-01,3852,confirmada
131,131,36,879,2022-09-11,2020-11-10,2020-11-11,2474,cancelada
132,132,24,740,2024-06-10,2022-03-15,2023-04-24,5294,cancelada
133,133,29,112,2022-10-12,2021-05-15,2023-08-26,4549,confirmada
134,134,61,424,2021-06-20,2023-11-09,2024-02-12,8567,confirmada
135,135,7,675,2020-10-29,2022-05-09,2023-10-09,3694,cancelada
136,136,9,942,2020-05-12,2022-04-22,2022-04-23,7171,pendiente
137,137,100,981,2022-06-17,2024-03-11,2024-03-12,8642,cancelada
138,138,51,660,2022-08-30,2021-02-04,2023-12-04,8550,confirmada
139,139,58,32,2020-11-06,2023-08-14,2023-08-15,3566,confirmada
140,140,1,143,2022-03-27,2022-10-11,2022-10-12,2649,confirmada
141,141,37,413,2021-06-28,2020-08-18,2021-05-31,3491,confirmada
142,142,15,925,2022-07-13,2023-11-05,2023-11-06,9749,cancelada
143,143,55,927,2020-12-10,2022-08-06,2024-01-29,7776,pendiente
144,144,69,968,2022-02-14,2022-06-30,2023-06-19,1551,confirmada
145,145,99,48,2021-11-26,2024-06-20,2024-06-21,2278,pendiente
146,146,79,233,2023-07-28,2020-01-11,2022-10-27,196,pendiente
147,147,94,158,2022-10-17,2020-12-28,2021-03-05,581,pendiente
148,148,54,89,2023-06-24,2024-05-28,2024-05-29,9361,cancelada
149,149,28,722,2020-09-30,2023-06-13,2023-06-14,6292,cancelada
150,150,80,843,2020-01-06,2023-08-08,2023-08-09,1632,cancelada
151,151,65,710,2023-06-25,2020-04-17,2023-10-02,8259,pendiente
152,152,77,945,2024-01-14,2021-06-19,2023-10-08,5492,cancelada
153,153,19,992,2020-10-20,2024-06-20,2024-06-21,2007,cancelada
154,154,71,951,2021-03-31,2024-05-17,2024-05-18,3737,pendiente
155,155,45,26,2022-09-15,2023-08-20,2023-08-21,1401,cancelada
156,156,86,652,2020-06-25,2021-09-29,2024-05-19,7685,cancelada
157,157,64,276,2021-01-14,2020-09-24,2022-05-27,7756,pendiente
158,158,32,116,2020-05-03,2021-10-12,2021-10-13,6745,pendiente
159,159,91,635,2020-01-12,2020-06-16,2021-01-26,34,confirmada
160,160,83,920,2020-11-13,2023-05-06,2023-05-07,9084,cancelada
161,161,53,870,2020-10-09,2023-06-21,2023-06-22,8076,confirmada
162,162,44,884,2021-09-24,2020-10-16,2023-04-23,2709,confirmada
163,163,21,674,2022-07-27,2022-03-09,2022-03-10,9745,pendiente
164,164,95,377,2023-09-20,2021-12-15,2022-05-08,903,cancelada
165,165,90,864,2021-12-12,2022-04-07,2024-07-03,5733,pendiente
166,166,44,943,2022-02-21,2020-10-29,2023-07-29,8413,pendiente
167,167,35,895,2021-12-16,2023-05-23,2023-05-24,2171,cancelada
168,168,15,950,2022-03-11,2022-01-27,2022-05-18,6257,cancelada
169,169,96,660,2024-03-28,2024-02-01,2024-02-02,4614,cancelada
170,170,92,684,2022-07-08,2023-04-30,2023-05-01,3827,pendiente
171,171,70,717,2022-04-28,2023-11-26,2023-11-27,2381,pendiente
172,172,34,638,2023-07-26,2023-04-16,2023-04-17,5095,cancelada
173,173,47,663,2021-02-22,2020-04-27,2021-10-18,4827,cancelada
174,174,14,727,2023-08-10,2023-01-17,2023-01-18,6760,pendiente
175,175,1,330,2023-09-04,2021-12-31,2022-09-08,4299,cancelada
176,176,64,553,2023-09-19,2024-06-27,2024-06-28,5933,confirmada
177,177,16,577,2020-02-10,2020-05-30,2022-04-28,7456,confirmada
178,178,81,872,2024-02-12,2020-12-31,2024-04-17,5491,confirmada
179,179,3,927,2020-07-18,2024-02-08,2024-02-09,3298,cancelada
180,180,49,501,2024-02-11,2022-09-05,2022-09-06,9089,cancelada
181,181,59,296,2021-12-25,2020-01-07,2021-12-18,5402,pendiente
182,182,48,918,2021-04-10,2020-01-30,2020-08-21,1692,cancelada
183,183,79,23,2024-01-26,2021-03-25,2021-03-26,3359,cancelada
184,184,62,817,2022-07-24,2020-07-30,2020-12-31,7807,confirmada
185,185,7,772,2020-01-12,2024-02-13,2024-02-14,3042,pendiente
186,186,35,357,2023-05-09,2023-02-20,2024-05-05,5327,cancelada
187,187,89,335,2021-02-02,2022-12-31,2024-01-24,4268,pendiente
188,188,33,613,2022-02-19,2021-02-18,2023-07-21,6399,confirmada
189,189,44,768,2024-01-18,2021-06-18,2021-07-06,7989,pendiente
190,190,67,250,2021-03-21,2022-01-06,2022-01-07,1206,cancelada
191,191,30,133,2022-08-25,2023-08-28,2023-09-13,8014,cancelada
192,192,94,160,2023-08-10,2024-07-05,2024-07-06,5899,cancelada
193,193,46,424,2020-12-28,2021-08-25,2021-08-26,7403,cancelada
194,194,65,183,2023-08-28,2024-01-25,2024-01-26,2017,confirmada
195,195,100,433,2024-04-10,2024-06-10,2024-06-11,3153,cancelada
196,196,52,195,2022-10-30,2023-09-05,2023-09-06,6725,cancelada
197,197,81,726,2022-03-14,2021-05-08,2022-07-04,6179,confirmada
198,198,76,903,2021-04-09,2021-01-02,2021-01-03,2277,pendiente
199,199,29,508,2023-07-14,2023-04-09,2023-04-10,4777,cancelada
200,200,100,928,2023-06-27,2023-05-18,2023-05-19,4565,cancelada
201,201,6,18,2023-06-04,2022-07-25,2022-07-26,6065,pendiente
202,202,94,104,2022-08-16,2024-06-23,2024-06-24,8912,pendiente
203,203,65,781,2024-04-20,2023-07-05,2023-07-06,4009,cancelada
204,204,99,164,2022-04-12,2021-04-08,2021-04-09,4444,confirmada
205,205,24,729,2023-08-21,2023-11-17,2023-11-18,4656,confirmada
206,206,6,75,2024-04-15,2023-07-14,2023-08-07,5520,confirmada
207,207,13,598,2024-01-16,2021-03-19,2022-02-22,2497,confirmada
208,208,56,147,2022-07-05,2020-11-13,2020-11-14,5866,confirmada
209,209,4,82,2022-10-23,2022-06-25,2024-05-25,294,pendiente
210,210,92,271,2023-04-10,2024-04-11,2024-04-12,5597,cancelada
211,211,79,443,2020-05-28,2023-03-03,2023-03-04,1202,pendiente
212,212,20,55,2021-02-11,2024-07-04,2024-07-05,6072,cancelada
213,213,79,19,2022-05-20,2021-04-16,2023-10-14,325,confirmada
214,214,99,712,2021-05-09,2021-04-26,2021-04-27,9240,pendiente
215,215,96,607,2023-04-20,2024-04-22,2024-04-23,6424,cancelada
216,216,48,95,2021-05-18,2020-08-06,2023-12-14,7251,pendiente
217,217,17,18,2021-06-13,2021-01-28,2022-05-01,3505,cancelada
218,218,4,592,2024-04-18,2021-12-04,2022-05-06,6528,pendiente
219,219,16,676,2023-03-04,2022-04-11,2022-04-12,3629,cancelada
220,220,92,350,2021-04-07,2023-04-15,2024-01-17,8727,pendiente
221,221,81,952,2022-05-04,2024-06-18,2024-06-19,4364,pendiente
222,222,47,682,2023-01-21,2021-03-25,2021-12-24,1829,cancelada
223,223,85,484,2020-09-02,2020-02-03,2022-02-03,1739,pendiente
224,224,85,871,2020-04-20,2022-11-01,2023-03-27,163,cancelada
225,225,43,9,2023-01-26,2021-12-13,2023-05-07,9915,cancelada
226,226,58,699,2022-04-24,2024-03-03,2024-03-04,3735,pendiente
227,227,25,930,2020-10-21,2021-08-01,2021-08-02,7576,pendiente
228,228,62,303,2021-02-04,2020-08-11,2023-12-23,6724,cancelada
229,229,69,196,2023-09-05,2023-10-01,2023-10-02,8809,confirmada
230,230,43,875,2024-05-06,2021-06-26,2021-12-04,1275,pendiente
231,231,58,45,2023-03-10,2020-03-07,2023-10-27,5922,confirmada
232,232,8,328,2022-08-05,2022-01-20,2022-12-20,9587,pendiente
233,233,95,439,2021-06-13,2022-01-12,2023-08-24,8205,cancelada
234,234,49,91,2022-06-25,2020-08-22,2023-01-22,6862,pendiente
235,235,47,433,2021-08-26,2021-08-12,2021-08-13,339,cancelada
236,236,77,929,2023-09-01,2020-02-21,2023-11-01,3735,confirmada
237,237,61,970,2022-12-09,2022-01-26,2024-03-16,8122,pendiente
238,238,27,462,2020-12-09,2021-02-22,2021-02-23,9406,cancelada
239,239,98,199,2020-08-22,2022-01-30,2022-03-15,3873,pendiente
240,240,14,413,2021-02-24,2021-10-14,2021-10-15,8755,confirmada
241,241,98,414,2024-01-18,2021-07-29,2021-07-30,2654,confirmada
242,242,53,683,2021-04-06,2021-09-09,2021-12-30,2635,confirmada
243,243,4,560,2023-10-11,2021-06-16,2021-06-17,78,cancelada
244,244,39,811,2022-04-07,2020-12-27,2022-01-18,7442,confirmada
245,245,100,837,2023-08-21,2020-10-03,2020-10-15,920,cancelada
246,246,55,34,2021-04-15,2020-04-10,2021-12-18,2697,pendiente
247,247,53,869,2022-08-07,2020-03-07,2022-05-23,539,confirmada
248,248,65,576,2021-12-24,2023-08-31,2023-09-01,9344,pendiente
249,249,24,105,2022-06-28,2022-03-17,2024-06-14,6292,cancelada
250,250,69,935,2020-05-23,2020-01-19,2020-05-21,9436,pendiente
251,251,52,96,2021-01-02,2020-12-07,2020-12-08,2511,confirmada
252,252,71,980,2023-01-01,2023-12-28,2023-12-29,1184,confirmada
253,253,71,512,2024-05-15,2020-03-25,2021-03-28,9671,confirmada
254,254,22,118,2022-10-29,2020-09-05,2021-08-18,1592,pendiente
255,255,24,29,2022-09-19,2021-02-13,2021-02-14,7554,confirmada
256,256,50,126,2022-09-02,2020-06-03,2020-07-23,8328,pendiente
257,257,59,436,2021-04-25,2022-03-15,2022-03-16,6267,confirmada
258,258,64,692,2022-05-09,2020-12-20,2021-02-28,9214,cancelada
259,259,70,865,2022-05-04,2022-04-04,2022-04-05,8126,confirmada
260,260,45,818,2022-03-15,2023-02-27,2023-10-29,6016,cancelada
261,261,43,972,2021-10-05,2020-11-12,2022-01-01,9797,confirmada
262,262,95,247,2022-12-28,2023-04-02,2023-04-03,7228,confirmada
263,263,29,56,2021-01-13,2024-01-29,2024-01-30,4299,cancelada
264,264,27,606,2022-11-01,2023-10-01,2023-10-02,8592,confirmada
265,265,5,669,2022-10-06,2021-04-27,2024-05-13,7168,confirmada
266,266,13,744,2022-03-05,2023-08-14,2023-08-15,8583,cancelada
267,267,2,455,2021-08-29,2021-12-12,2023-07-05,9833,confirmada
268,268,94,960,2023-04-01,2024-04-08,2024-04-09,2215,pendiente
269,269,67,688,2021-04-26,2023-07-27,2023-07-28,1315,cancelada
270,270,67,785,2023-04-13,2022-10-31,2024-01-17,2702,pendiente
271,271,84,57,2020-03-26,2022-11-14,2022-11-15,199,cancelada
272,272,3,821,2024-04-15,2020-09-24,2023-02-01,2835,pendiente
273,273,48,555,2024-01-18,2022-07-30,2023-04-28,5237,pendiente
274,274,55,801,2020-11-21,2022-04-15,2022-04-16,6516,confirmada
275,275,25,871,2020-05-05,2022-03-11,2022-04-07,7250,confirmada
276,276,5,628,2024-01-28,2022-05-25,2022-05-26,1365,cancelada
277,277,37,829,2021-05-15,2021-04-16,2022-10-14,2690,pendiente
278,278,73,226,2022-12-20,2021-08-22,2022-01-08,6275,pendiente
279,279,8,209,2021-10-19,2023-05-27,2023-05-28,4378,cancelada
280,280,36,677,2021-02-12,2023-12-20,2023-12-21,1427,pendiente
281,281,17,343,2021-11-18,2023-09-14,2023-09-15,7292,pendiente
282,282,63,112,2024-03-09,2023-03-29,2023-03-30,8147,cancelada
283,283,73,170,2020-10-12,2023-08-07,2023-08-08,5491,pendiente
284,284,7,335,2021-09-10,2024-02-22,2024-02-23,7174,confirmada
285,285,93,226,2023-05-06,2020-05-29,2022-01-11,3741,pendiente
286,286,72,676,2021-04-26,2021-02-26,2022-08-27,1843,cancelada
287,287,66,158,2023-03-16,2020-12-30,2020-12-31,2702,confirmada
288,288,16,281,2022-10-22,2022-07-12,2022-07-13,9305,cancelada
289,289,90,989,2020-03-04,2023-11-06,2023-11-07,3716,pendiente
290,290,31,696,2023-06-09,2021-06-18,2022-04-09,8296,confirmada
291,291,46,79,2020-06-16,2020-01-06,2020-02-01,60,cancelada
292,292,75,121,2022-07-09,2020-04-17,2022-03-20,7277,cancelada
293,293,31,622,2020-09-05,2020-03-28,2024-04-23,7703,confirmada
294,294,66,345,2022-02-02,2021-03-02,2021-03-03,904,cancelada
295,295,64,842,2022-02-17,2021-02-27,2021-11-30,9431,confirmada
296,296,76,87,2023-06-13,2024-02-26,2024-02-27,8955,cancelada
297,297,45,110,2020-11-04,2022-06-09,2024-03-30,8291,confirmada
298,298,32,730,2021-02-01,2023-09-11,2023-09-12,2196,confirmada
299,299,86,764,2022-01-28,2024-07-01,2024-07-02,5459,confirmada
300,300,62,827,2023-05-26,2023-12-17,2023-12-18,6328,pendiente
301,301,93,12,2020-05-06,2022-01-28,2022-12-20,7192,pendiente
302,302,8,718,2021-05-20,2020-03-10,2020-05-19,4821,cancelada
303,303,54,903,2023-11-25,2023-09-14,2023-09-15,2691,pendiente
304,304,14,233,2023-01-21,2022-07-16,2022-07-17,3384,pendiente
305,305,61,952,2023-12-22,2021-07-25,2021-07-26,6878,cancelada
306,306,53,333,2020-04-29,2022-05-21,2022-05-31,4295,cancelada
307,307,7,450,2020-05-25,2020-07-11,2020-07-12,126,cancelada
308,308,58,838,2022-04-27,2020-09-06,2020-09-14,5953,pendiente
309,309,66,944,2020-04-04,2022-03-13,2022-03-14,9096,cancelada
310,310,22,538,2021-01-26,2023-05-25,2023-05-26,9331,cancelada
311,311,90,842,2021-09-25,2020-04-24,2022-06-15,5774,cancelada
312,312,53,230,2024-01-09,2020-03-08,2021-10-25,3116,confirmada
313,313,14,46,2021-12-20,2024-06-13,2024-06-14,2933,confirmada
314,314,41,700,2024-05-18,2023-04-07,2023-04-08,7854,confirmada
315,315,16,306,2022-03-24,2021-05-25,2021-05-26,6722,pendiente
316,316,71,787,2023-08-05,2023-11-04,2023-11-05,3861,pendiente
317,317,18,135,2023-03-26,2021-09-09,2024-06-19,9497,cancelada
318,318,82,107,2020-01-02,2022-01-23,2023-07-19,6137,confirmada
319,319,18,271,2020-07-08,2020-06-23,2020-07-29,746,confirmada
320,320,93,524,2020-09-13,2023-12-23,2023-12-24,214,cancelada
321,321,69,852,2020-06-05,2022-09-01,2022-09-02,3281,confirmada
322,322,64,455,2021-05-24,2024-04-21,2024-04-22,1083,pendiente
323,323,15,228,2022-10-29,2024-01-02,2024-01-03,245,confirmada
324,324,28,338,2020-11-30,2020-05-29,2023-06-28,8241,cancelada
325,325,12,403,2024-06-07,2024-05-19,2024-05-20,5504,cancelada
326,326,65,180,2023-02-08,2022-03-05,2022-03-06,2822,confirmada
327,327,87,774,2024-06-30,2022-11-08,2022-11-09,9532,pendiente
328,328,72,407,2021-02-10,2023-08-19,2023-08-20,1462,cancelada
329,329,100,640,2020-04-21,2022-11-22,2023-11-23,331,pendiente
330,330,49,754,2020-11-25,2020-01-21,2024-05-28,5843,pendiente
331,331,37,32,2021-02-19,2021-05-29,2021-05-30,6641,confirmada
332,332,23,691,2021-08-30,2024-02-29,2024-03-01,4035,cancelada
333,333,85,494,2023-01-24,2024-03-08,2024-03-09,4370,cancelada
334,334,24,760,2022-09-29,2020-12-25,2020-12-26,5262,pendiente
335,335,19,521,2021-08-29,2024-03-05,2024-03-06,3303,confirmada
336,336,39,29,2021-12-19,2022-01-11,2024-01-03,5513,pendiente
337,337,8,509,2021-08-02,2022-12-30,2024-01-18,4070,cancelada
338,338,99,841,2024-05-31,2021-07-19,2021-07-20,1615,cancelada
339,339,88,369,2022-01-04,2022-10-01,2022-10-02,9778,cancelada
340,340,48,400,2022-05-09,2023-10-15,2023-10-16,3934,cancelada
341,341,15,897,2020-09-22,2021-04-28,2021-11-18,4681,cancelada
342,342,60,479,2023-01-31,2023-05-15,2023-05-16,6359,confirmada
343,343,38,567,2022-03-18,2020-07-30,2020-07-31,5711,cancelada
344,344,75,617,2023-05-22,2023-06-26,2023-06-27,9872,cancelada
345,345,27,772,2022-12-27,2024-07-01,2024-07-02,8191,pendiente
346,346,82,378,2024-01-12,2020-03-31,2021-02-14,6530,confirmada
347,347,92,882,2020-07-13,2023-06-17,2024-01-08,5689,pendiente
348,348,72,827,2024-04-17,2024-03-30,2024-03-31,1677,cancelada
349,349,22,289,2022-05-11,2022-06-16,2022-06-17,9524,confirmada
350,350,93,671,2023-12-20,2023-01-15,2023-01-16,36,confirmada
351,351,77,741,2021-12-12,2023-06-09,2024-04-10,5023,pendiente
352,352,33,716,2021-07-19,2024-04-26,2024-04-27,9384,cancelada
353,353,30,103,2023-07-04,2023-05-03,2024-06-10,7495,confirmada
354,354,43,933,2020-01-06,2022-11-26,2022-11-27,1183,confirmada
355,355,16,326,2022-01-25,2020-03-25,2022-07-19,4183,cancelada
356,356,38,168,2022-09-08,2023-09-17,2023-09-18,978,pendiente
357,357,16,785,2023-06-16,2021-08-06,2023-09-20,8903,pendiente
358,358,86,145,2020-04-16,2023-06-06,2023-06-07,7890,confirmada
359,359,14,433,2024-03-28,2024-05-14,2024-05-15,9685,confirmada
360,360,94,448,2023-05-18,2020-01-18,2023-09-01,4321,confirmada
361,361,50,697,2021-03-24,2023-07-27,2023-07-28,1582,confirmada
362,362,22,733,2023-05-19,2020-06-11,2023-10-28,7274,cancelada
363,363,49,712,2022-09-10,2023-11-23,2023-11-24,8390,cancelada
364,364,38,873,2023-10-07,2024-06-18,2024-06-19,179,confirmada
365,365,9,754,2023-09-01,2020-12-22,2021-06-19,5760,pendiente
366,366,67,740,2020-01-19,2024-02-28,2024-02-29,9639,confirmada
367,367,29,206,2021-09-28,2020-09-17,2020-09-18,2808,pendiente
368,368,57,17,2023-08-14,2020-09-24,2023-02-14,9512,confirmada
369,369,75,924,2021-08-10,2023-02-24,2023-02-25,7752,cancelada
370,370,96,288,2023-09-26,2022-09-19,2022-09-20,8676,confirmada
371,371,67,32,2022-02-21,2020-02-26,2023-02-14,1820,pendiente
372,372,82,621,2021-07-15,2022-08-10,2022-08-11,760,cancelada
373,373,63,25,2020-05-19,2023-01-23,2023-01-24,4160,cancelada
374,374,80,97,2020-11-20,2022-07-23,2022-07-24,4686,cancelada
375,375,91,365,2020-11-21,2022-01-21,2022-01-22,3232,confirmada
